AirForce,Air Force,Falcons,Colorado Springs,Colorado,Mountain West,1955
Akron,Akron,Zips,Akron,Ohio,MAC,1891
Alabama,Alabama,Crimson Tide,Tuscaloosa,Alabama,SEC,1892
AlabamaA&M,Alabama A&M,,,,,
AlcornState,Alcorn State,,,,,
AppalachianState,Appalachian State,Mountaineers,Boone,North Carolina,Sun Belt,1928
Arizona,Arizona,Wildcats,Tucson,Arizona,Pac-12,1899
ArizonaState,Arizona State,Sun Devils,Tempe,Arizona,Pac-12,1896
Arkansas,Arkansas,Razorbacks,Fayetteville,Arkansas,SEC,1894
ArkansasState,Arkansas State,Red Wolves,Jonesboro,Arkansas,Sun Belt,1911
Army,Army,Black Knights,West Point,New York,Independent,1890
Auburn,Auburn,Tigers,Auburn,Alabama,SEC,1892
AugustanaCollegeSD,Augustana College,,,South Dakota,,
BallState,Ball State,Cardinals,Muncie,Indiana,MAC,1924
Baylor,Baylor,Bears,Waco,Texas,Big 12,1899
BoiseState,Boise State,Broncos,Boise,Idaho,Mountain West,1933
BostonUniversity,Boston University,,,,,
BostonCollege,Boston College,Eagles,Chestnut Hill,Massachusetts,ACC,1893
BowlingGreen,Bowling Green,Falcons,Bowling Green,Ohio,MAC,1919
Buffalo,Buffalo,Bulls,Buffalo,New York,MAC,1894
BYU,BYU,Cougars,Provo,Utah,Independent,1922
CWPost,C.W. Post,,,,,
California,California,Golden Bears,Berkeley,California,Pac-12,1882
CentralArkansas,Central Arkansas,,,,,
CentralFlorida,Central Florida,,,,,
CentralMichigan,Central Michigan,Chippewas,Mount Pleasant,Michigan,MAC,1896
Charlotte,Charlotte,49ers,Charlotte,North Carolina,C-USA,2013
Cincinnati,Cincinnati,Bearcats,Cincinnati,Ohio,American,1885
ClarkAtlanta,Clark Atlanta,,,,,
Clemson,Clemson,Tigers,Clemson,South Carolina,ACC,1896
CoastalCarolina,Coastal Carolina,Chanticleers,Conway,South Carolina,Sun Belt,2003
Colorado,Colorado,Buffaloes,Boulder,Colorado,Pac-12,1890
ColoradoState,Colorado State,Rams,Fort Collins,Colorado,Mountain West,1890
Connecticut,Connecticut,,,,,
Duke,Duke,Blue Devils,Durham,North Carolina,ACC,1888
EastCarolina,East Carolina,Pirates,Greenville,North Carolina,American,1932
EasternIllinois,Eastern Illinois,,,,,
EasternKentucky,Eastern Kentucky,,,,,
EasternMichigan,Eastern Michigan,Eagles,Ypsilanti,Michigan,MAC,1891
EasternWashington,Eastern Washington,,,,,
FIU,FIU,Panthers,Miami,Florida,C-USA,2002
Florida,Florida,Gators,Gainesville,Florida,SEC,1906
FloridaA&M,Florida A&M,,,,,
FloridaAtlantic,Florida Atlantic,Owls,Boca Raton,Florida,C-USA,2001
FloridaState,Florida State,Seminoles,Tallahassee,Florida,ACC,1947
FresnoState,Fresno State,Bulldogs,Fresno,California,Mountain West,1921
GardnerWebb,Gardner Webb,,,,,
Georgia,Georgia,Bulldogs,Athens,Georgia,SEC,1892
GeorgiaSouthern,Georgia Southern,Eagles,Statesboro,Georgia,Sun Belt,1924
GeorgiaState,Georgia State,Panthers,Atlanta,Georgia,Sun Belt,2010
GeorgiaTech,Georgia Tech,Yellow Jackets,Atlanta,Georgia,ACC,1892
GramblingState,Grambling State University,,,,,
Hampton,Hampton,,,,,
Hawaii,Hawaii,Rainbow Warriors,Honolulu,Hawai'i,Mountain West,1909
Houston,Houston,Cougars,Houston,Texas,American,1946
Howard,Howard University,,,,,
Idaho,Idaho,,,,,
Illinois,Illinois,Fighting Illini,Urbana–Champaign,Illinois,Big Ten,1890
Indiana,Indiana,Hoosiers,Bloomington,Indiana,Big Ten,1887
Iowa,Iowa,Hawkeyes,Iowa City,Iowa,Big Ten,1889
IowaState,Iowa State,Cyclones,Ames,Iowa,Big 12,1892
JacksonState,Jackson State,,,,,
Kansas,Kansas,Jayhawks,Lawrence,Kansas,Big 12,1890
KansasState,Kansas State,Wildcats,Manhattan,Kansas,Big 12,1896
KentState,Kent State,Golden Flashes,Kent,Ohio,MAC,1920
Kentucky,Kentucky,Wildcats,Lexington,Kentucky,SEC,1881
LenoirRhyne,Lenoir Rhyne,,,,,
Liberty,Liberty,Flames,Lynchburg,Virginia,Independent,1973
Louisiana,Louisiana,Ragin' Cajuns,Lafayette,Louisiana,Sun Belt,1902
LouisianaMonroe,Louisiana-Monroe,Warhawks,Monroe,Louisiana,Sun Belt,1951
LouisianaTech,Louisiana Tech,Bulldogs,Ruston,Louisiana,C-USA,1901
Louisville,Louisville,Cardinals,Louisville,Kentucky,ACC,1910
