1935,JayBerwanger,1935,-NCAAF-,Chicago
1936,LarryKelley,1936,-NCAAF-,Yale
1937,ClintFrank,1937,-NCAAF-,Yale
1938,DaveyO'Brien,1938,-NCAAF-,TCU
1939,NileKinnick,1939,-NCAAF-,Iowa
1940,TomHarmon,1940,-NCAAF-,Michigan
1941,BruceSmith,1941,-NCAAF-,Minnesota
1942,FrankSinkwich,1942,-NCAAF-,Georgia
1943,AngeloBertelli,1943,-NCAAF-,NotreDame
1944,LesHorvath,1944,-NCAAF-,OhioState
1945,DocBlanchard,1945,-NCAAF-,Army
1946,GlennDavis,1946,-NCAAF-,Army
1947,JohnnyLujack,1947,-NCAAF-,NotreDame
1948,DoakWalker,1948,-NCAAF-,SMU
1949,LeonHart,1949,-NCAAF-,NotreDame
1950,VicJanowicz,1950,-NCAAF-,OhioState
1951,DickKazmaier,1951,-NCAAF-,Princeton
1952,BillyVessels,1952,-NCAAF-,Oklahoma
1953,JohnnyLattner,1953,-NCAAF-,NotreDame
1954,AlanAmeche,1954,-NCAAF-,Wisconsin
1955,HowardCassady,1955,-NCAAF-,OhioState
1956,PaulHornung,1956,-NCAAF-,NotreDame
1957,JohnDavidCrow,1957,-NCAAF-,TexasA&M
1958,PeteDawkins,1958,-NCAAF-,Army
1959,BillyCannon,1959,-NCAAF-,LSU
1960,JoeBellino,1960,-NCAAF-,Navy
1961,ErnieDavis,1961,-NCAAF-,Syracuse
1962,TerryBaker,1962,-NCAAF-,OregonState
1963,RogerStaubach,1963,-NCAAF-,Navy
1964,JohnHuarte,1964,-NCAAF-,NotreDame
1965,MikeGarrett,1965,-NCAAF-,USC
1966,SteveSpurrier,1966,-NCAAF-,Florida
1967,GaryBeban,1967,-NCAAF-,UCLA
1968,OJSimpson,1968,-NCAAF-,USC
1969,SteveOwens,1969,-NCAAF-,Oklahoma
1970,JimPlunkett,1970,-NCAAF-,Stanford
1971,PatSullivan,1971,-NCAAF-,Auburn
1972,JohnnyRodgers,1972,-NCAAF-,Nebraska
1973,JohnCappelletti,1973,-NCAAF-,PennState
1974,ArchieGriffin,1974,-NCAAF-,OhioState
1975,ArchieGriffin,1975,-NCAAF-,OhioState
1976,TonyDorsett,1976,-NCAAF-,Pittsburgh
1977,EarlCampbell,1977,-NCAAF-,Texas
1978,BillySims,1978,-NCAAF-,Oklahoma
1979,CharlesWhite,1979,-NCAAF-,USC
1980,GeorgeRogers,1980,-NCAAF-,SouthCarolina
1981,MarcusAllen,1981,-NCAAF-,USC
1982,HerschelWalker,1982,-NCAAF-,Georgia
1983,MikeRozier,1983,-NCAAF-,Nebraska
1984,DougFlutie,1984,-NCAAF-,BostonCollege
1985,BoJackson,1985,-NCAAF-,Auburn
1986,VinnyTestaverde,1986,-NCAAF-,Miami
1987,TimBrown,1987,-NCAAF-,NotreDame
1988,BarrySanders,1988,-NCAAF-,OklahomaState
1989,AndreWare,1989,-NCAAF-,Houston
1990,TyDetmer,1990,-NCAAF-,BYU
1991,DesmondHoward,1991,-NCAAF-,Michigan
1992,GinoTorretta,1992,-NCAAF-,Miami
1993,CharlieWard,1993,-NCAAF-,FloridaState
1994,RashaanSalaam,1994,-NCAAF-,Colorado
1995,EddieGeorge,1995,-NCAAF-,OhioState
1996,DannyWuerffel,1996,-NCAAF-,Florida
1997,CharlesWoodson,1997,-NCAAF-,Michigan
1998,RickyWilliams,1998,-NCAAF-,Texas
1999,RonDayne,1999,-NCAAF-,Wisconsin
2000,ChrisWeinke,2000,-NCAAF-,FloridaState
2001,EricCrouch,2001,-NCAAF-,Nebraska
2002,CarsonPalmer,2002,-NCAAF-,USC
2003,JasonWhite,2003,-NCAAF-,Oklahoma
2004,MattLeinart,2004,-NCAAF-,USC
2005,ReggieBush,2005,-NCAAF-,USC
2006,TroySmith,2006,-NCAAF-,OhioState
2007,TimTebow,2007,-NCAAF-,Florida
2008,SamBradford,2008,-NCAAF-,Oklahoma
2009,MarkIngramJr.,2009,-NCAAF-,Alabama
2010,CamNewton,2010,-NCAAF-,Auburn
2011,RobertGriffinIII,2011,-NCAAF-,Baylor
2012,JohnnyManziel,2012,-NCAAF-,TexasA&M
2013,JameisWinston,2013,-NCAAF-,FloridaState
2014,MarcusMariota,2014,-NCAAF-,Oregon
2015,DerrickHenry,2015,-NCAAF-,Alabama
2016,LamarJackson,2016,-NCAAF-,Louisville
2017,BakerMayfield,2017,-NCAAF-,Oklahoma
2018,KylerMurray,2018,-NCAAF-,Oklahoma
