1933,17-Dec-33,Chicago Bears,23–21,,New York Giants,Wrigley Field,"Chicago, IL","26,000",,
1934,9-Dec-34,New York Giants,30–13,,Chicago Bears,Polo Grounds,"New York, NY","35,059",,
1935,15-Dec-35,Detroit Lions,26–7,,New York Giants,University of Detroit Stadium,"Detroit, MI","15,000",,
1936,13-Dec-36,Green Bay Packers,21–6,,Boston Redskins,Polo Grounds,"New York, NY","29,545",,
1937,12-Dec-37,Washington Redskins,28–21,,Chicago Bears,Wrigley Field,"Chicago, IL","15,870",,
1938,11-Dec-38,New York Giants,23–17,,Green Bay Packers,Polo Grounds,"New York, NY","48,120",,
1939,10-Dec-39,Green Bay Packers,27–0,,New York Giants,Dairy Bowl,"Milwaukee, WI","32,279",,
1940,8-Dec-40,Chicago Bears,73–0,,Washington Redskins,Griffith Stadium,"Washington, DC","36,034",,
1941,21-Dec-41,Chicago Bears,37–9,,New York Giants,Wrigley Field,"Chicago, IL","13,341",,
1942,13-Dec-42,Washington Redskins,14–6,,Chicago Bears,Griffith Stadium,"Washington, DC","36,006",,
1943,26-Dec-43,Chicago Bears,41–21,,Washington Redskins,Wrigley Field,"Chicago, IL","34,320",,
1944,17-Dec-44,Green Bay Packers,14–7,,New York Giants,Polo Grounds,"New York, NY","46,016",,
1945,16-Dec-45,Cleveland Rams,15–14,,Washington Redskins,Cleveland Stadium,"Cleveland, OH","32,178",,
1946,15-Dec-46,Chicago Bears,24–14,,New York Giants,Polo Grounds,"New York, NY","58,346",,
1947,28-Dec-47,Chicago Cardinals,28–21,,Philadelphia Eagles,Comiskey Park,"Chicago, IL","30,759",,
1948,19-Dec-48,Philadelphia Eagles,7–0,,Chicago Cardinals,Shibe Park,"Philadelphia, PA","36,309",,
1949,18-Dec-49,Philadelphia Eagles,14–0,,Los Angeles Rams,Memorial Coliseum,"Los Angeles, CA","27,980",,
1950,24-Dec-50,Cleveland Browns,30–28,,Los Angeles Rams,Cleveland Stadium,"Cleveland, OH","29,751",,
1951,23-Dec-51,Los Angeles Rams,24–17,,Cleveland Browns,Memorial Coliseum,"Los Angeles, CA","57,522",,
1952,28-Dec-52,Detroit Lions,17–7,,Cleveland Browns,Cleveland Stadium,"Cleveland, OH","50,934",,
1953,27-Dec-53,Detroit Lions,17–16,,Cleveland Browns,Briggs Stadium,"Detroit, MI","54,577",,
1954,26-Dec-54,Cleveland Browns,56–10,,Detroit Lions,Cleveland Stadium,"Cleveland, OH","43,827",,
1955,26-Dec-55,Cleveland Browns,38–14,,Los Angeles Rams,Memorial Coliseum,"Los Angeles, CA","85,693",,
1956,30-Dec-56,New York Giants,47–7,,Chicago Bears,Yankee Stadium,"New York, NY","56,836",,
1957,29-Dec-57,Detroit Lions,59–14,,Cleveland Browns,Briggs Stadium,"Detroit, MI","55,263",,
1958,28-Dec-58,Baltimore Colts,23–17,,New York Giants,Yankee Stadium,"New York, NY","64,185",,
1959,27-Dec-59,Baltimore Colts,31–16,,New York Giants,Memorial Stadium,"Baltimore, MD","57,545",,
1960,26-Dec-60,Philadelphia Eagles,17–13,,Green Bay Packers,Franklin Field,"Philadelphia, PA","67,325",,
1961,31-Dec-61,Green Bay Packers,37–0,,New York Giants,City Stadium,"Green Bay, WI","39,029",,
1962,30-Dec-62,Green Bay Packers,16–7,,New York Giants,Yankee Stadium,"New York, NY","64,892",,
1963,29-Dec-63,Chicago Bears,14–10,,New York Giants,Wrigley Field,"Chicago, IL","45,801",,
1964,27-Dec-64,Cleveland Browns,27–0,,Baltimore Colts,Cleveland Stadium,"Cleveland, OH","79,544",,
1965,2-Jan-66,Green Bay Packers,23–12,,Cleveland Browns,Lambeau Field,"Green Bay, WI","50,777",,
1966,1-Jan-67,Green Bay Packers,34–27,,Dallas Cowboys,Dallas,"Dallas, TX","74,152",,
1967,31-Dec-67,Green Bay Packers,21–17,,Dallas Cowboys,Lambeau Field,"Green Bay, WI","50,861",,
1968,29-Dec-68,Baltimore Colts,34–0,,Cleveland Browns,Cleveland,"Cleveland, OH","78,410",,
1969,4-Jan-70,Minnesota Vikings,27–7,,Cleveland Browns,Minneapolis,"Minneapolis, MN","46,503",,
,,,,,,,,,,
1966,15-Jan-67,Green Bay Packers,35–10,,Kansas City Chiefs,Los Angeles Memorial Coliseum,"Los Angeles, California","61,946",I,BartStarr
1967,14-Jan-68,Green Bay Packers,33–14,,Oakland Raiders,Miami Orange Bowl,"Miami, Florida","75,546",II,BartStarr
1968,12-Jan-69,New York Jets,16–7 ,,Baltimore Colts,Miami Orange Bowl,"Miami, Florida","75,389",III,JoeNamath
1969,11-Jan-70,Kansas City Chiefs,23–7 ,,Minnesota Vikings,Tulane Stadium,"New Orleans, Louisiana","80,562",IV,LenDawson
1970,17-Jan-71,Baltimore Colts,16–13,,Dallas Cowboys,Miami Orange Bowl,"Miami, Florida","79,204",V,ChuckHowley
1971,16-Jan-72,Dallas Cowboys,24–3 ,,Miami Dolphins,Tulane Stadium,"New Orleans, Louisiana","81,023",VI,RogerStaubach
1972,14-Jan-73,Miami Dolphins,14–7 ,,Washington Redskins,Los Angeles Memorial Coliseum,"Los Angeles, California","90,182",VII,JakeScott
1973,13-Jan-74,Miami Dolphins,24–7 ,,Minnesota Vikings,Rice Stadium,"Houston, Texas","71,882",VIII,LarryCsonka
1974,12-Jan-75,Pittsburgh Steelers,16–6 ,,Minnesota Vikings,Tulane Stadium,"New Orleans, Louisiana","80,997",IX,FrancoHarris
1975,18-Jan-76,Pittsburgh Steelers,21–17,,Dallas Cowboys,Miami Orange Bowl,"Miami, Florida","80,187",X,LynnSwann
1976,9-Jan-77,Oakland Raiders,32–14,,Minnesota Vikings,Rose Bowl,"Pasadena, California","103,438",XI,FredBiletnikoff
1977,15-Jan-78,Dallas Cowboys,27–10,,Denver Broncos,Louisiana Superdome,"New Orleans, Louisiana","76,400",XII,HarveyMartin
1978,21-Jan-79,Pittsburgh Steelers,35–31,,Dallas Cowboys,Miami Orange Bowl,"Miami, Florida","79,484",XIII,TerryBradshaw
1979,20-Jan-80,Pittsburgh Steelers,31–19,,Los Angeles Rams,Rose Bowl,"Pasadena, California","103,985",XIV,TerryBradshaw
1980,25-Jan-81,Oakland Raiders,27–10,,Philadelphia Eagles,Louisiana Superdome,"New Orleans, Louisiana","76,135",XV,JimPlunkett
1981,24-Jan-82,San Francisco 49ers,26–21,,Cincinnati Bengals,Pontiac Silverdome,"Pontiac, Michigan","81,270",XVI,JoeMontana
1982,30-Jan-83,Washington Redskins,27–17,,Miami Dolphins,Rose Bowl,"Pasadena, California","103,667",XVII,JohnRiggins
1983,22-Jan-84,Los Angeles Raiders,38–9 ,,Washington Redskins,Tampa Stadium,"Tampa, Florida","72,920",XVIII,MarcusAllen
1984,20-Jan-85,San Francisco 49ers,38–16,,Miami Dolphins,Stanford Stadium,"Stanford, California","84,059",XIX,JoeMontana
1985,26-Jan-86,Chicago Bears,46–10,,New England Patriots,Louisiana Superdome,"New Orleans, Louisiana","73,818",XX,RichardDent
1986,25-Jan-87,New York Giants,39–20,,Denver Broncos,Rose Bowl,"Pasadena, California","101,063",XXI,PhilSimms
1987,31-Jan-88,Washington Redskins,42–10,,Denver Broncos,San Diego–Jack Murphy Stadium,"San Diego, California","73,302",XXII,DougWilliams
1988,22-Jan-89,San Francisco 49ers,20–16,,Cincinnati Bengals,Joe Robbie Stadium,"Miami Gardens, Florida","75,129",XXIII,JerryRice
1989,28-Jan-90,San Francisco 49ers,55–10,,Denver Broncos,Louisiana Superdome,"New Orleans, Louisiana","72,919",XXIV,JoeMontana
1990,27-Jan-91,New York Giants,20–19,,Buffalo Bills,Tampa Stadium,"Tampa, Florida","73,813",XXV,OttisAnderson
1991,26-Jan-92,Washington Redskins,37–24,,Buffalo Bills,Metrodome,"Minneapolis, Minnesota","63,130",XXVI,MarkRypien
1992,31-Jan-93,Dallas Cowboys,52–17,,Buffalo Bills,Rose Bowl,"Pasadena, California","98,374",XXVII,TroyAikman
1993,30-Jan-94,Dallas Cowboys,30–13,,Buffalo Bills,Georgia Dome,"Atlanta, Georgia","72,817",XXVIII,EmmittSmith
1994,29-Jan-95,San Francisco 49ers,49–26,,San Diego Chargers,Joe Robbie Stadium,"Miami Gardens, Florida","74,107",XXIX,SteveYoung
1995,28-Jan-96,Dallas Cowboys,27–17,,Pittsburgh Steelers,Sun Devil Stadium,"Tempe, Arizona","76,347",XXX,LarryBrown
1996,26-Jan-97,Green Bay Packers,35–21,,New England Patriots,Louisiana Superdome,"New Orleans, Louisiana","72,301",XXXI,DesmondHoward
