Bill Bidwill,1962,2019,Arizona Cardinals
Arthur Blank,2004,2019,Atlanta Falcons
Steve Bisciotti,2004,2019,Baltimore Ravens
Kim Pegula,2014,2019,Buffalo Bills
Terry Pegula,2014,2019,Buffalo Bills
David Tepper,2018,2019,Carolina Panthers
Virginia Halas McCaskey,1983,2019,Chicago Bears
Mike Brown,1991,2019,Cincinnati Bengals
Jimmy Haslam,2012,2019,Cleveland Browns
Dee Haslam,2012,2019,Cleveland Browns
Jerry Jones,1989,2019,Dallas Cowboys
Joe Ellis,2019,2019,Denver Broncos
Martha Ford,2014,2019,Detroit Lions
Janice McNair,2018,2019,Houston Texans
Jim Irsay,1997,2019,Indianapolis Colts
Shahid Khan,2012,2019,Jacksonville Jaguars
Clark Hunt,2006,2019,Kansas City Chiefs
Dean Spanos,2018,2019,Los Angeles Chargers
Stan Kroenke,2010,2019,Los Angeles Rams
Stephen M. Ross,2008,2019,Miami Dolphins
Zygi Wilf,2005,2019,Minnesota Vikings
Robert Kraft,1994,2019,New England Patriots
Gayle Benson,2018,2019,New Orleans Saints
John Mara,2005,2019,New York Giants
Steve Tisch,2005,2019,New York Giants
Robert Wood Johnson IV,2000,2019,New York Jets
Christopher Wold Johnson,2000,2019,New York Jets
Carol Davis,2011,2019,Oakland Raiders
Mark Davis,2011,2019,Oakland Raiders
Jeffrey Lurie,1994,2019,Philadelphia Eagles
Christina Weiss Lurie,1994,2019,Philadelphia Eagles
Art Rooney II1,2017,2019,Pittsburgh Steelers
Denise DeBartolo York,2009,2019,San Francisco 49ers
Jed York,2009,2019,San Francisco 49ers
Jody Allen,2018,2019,Seattle Seahawks
Bryan Glazer,2014,2019,Tampa Bay Buccaneers
Amy Adams Strunk,2013,2019,Tennessee Titans
Jack Kent Cooke,1974,1995,Washington Redskins
John Kent Cooke,1996,1998,Washington Redskins
Dan Snyder,1999,2019,Washington Redskins
