1933,NFL,100,LeagueChampionship,NFL Chamionship,Bears,23,21,,Giants,Wrigley Field,26000,,,
1934,NFL,100,LeagueChampionship,NFL Chamionship,Giants,30,13,,Bears,Polo Grounds,35059,,,
1935,NFL,100,LeagueChampionship,NFL Chamionship,Lions,26,7,,Giants,University of Stadium,15000,,,
1936,NFL,100,LeagueChampionship,NFL Chamionship,Packers,21,6,,Redskins,Polo Grounds,29545,,,
1937,NFL,100,LeagueChampionship,NFL Chamionship,Redskins,28,21,,Bears,Wrigley Field,15870,,,
1938,NFL,100,LeagueChampionship,NFL Chamionship,Giants,23,17,,Packers,Polo Grounds,48120,,,
1939,NFL,100,LeagueChampionship,NFL Chamionship,Packers,27,0,,Giants,Dairy Bowl,32279,,,
1940,NFL,100,LeagueChampionship,NFL Chamionship,Bears,73,0,,Redskins,Griffith Stadium,36034,,,
1941,NFL,50,Playoff,Western Division Playoff,Bears,33,14,,Packers,,,,,
1941,NFL,100,LeagueChampionship,NFL Chamionship,Bears,37,9,,Giants,Wrigley Field,13341,,,
1942,NFL,100,LeagueChampionship,NFL Chamionship,Redskins,14,6,,Bears,Griffith Stadium,36006,,,
1943,NFL,50,Playoff,Eastern Division Playoff,Redskins,28,0,,Giants,,,,,
1943,NFL,100,LeagueChampionship,NFL Chamionship,Bears,41,21,,Redskins,Wrigley Field,34320,,,
1944,NFL,100,LeagueChampionship,NFL Chamionship,Packers,14,7,,Giants,Polo Grounds,46016,,,
1945,NFL,100,LeagueChampionship,NFL Chamionship,Rams,15,14,,Redskins,Municipal Stadium,32178,,,
1946,NFL,100,LeagueChampionship,NFL Chamionship,Bears,24,14,,Giants,Polo Grounds,58346,,,
1947,NFL,50,Playoff,Eastern Division Playoff,Eagles,21,0,,Steelers,,,,,
1947,NFL,100,LeagueChampionship,NFL Chamionship,Cardinals,28,21,,Eagles,Comiskey Park,30759,,,
1948,NFL,100,LeagueChampionship,NFL Chamionship,Eagles,7,0,,Cardinals,Shibe Park,36309,,,
1949,NFL,100,LeagueChampionship,NFL Chamionship,Eagles,14,0,,Rams,Memorial Coliseum,27980,,,
1950,NFL,50,Playoff,American Conference Playoff,Browns,8,3,,Giants,,,,,
1950,NFL,50,Playoff,National Conference Playoff,Rams,24,14,,Bears,,,,,
1950,NFL,100,LeagueChampionship,NFL Chamionship,Browns,30,28,,Rams,Municipal Stadium,29751,,,
1951,NFL,100,LeagueChampionship,NFL Chamionship,Rams,24,17,,Browns,Memorial Coliseum,57522,,,
1952,NFL,50,Playoff,National Conference Playoff,Lions,31,21,,Rams,,,,,
1952,NFL,100,LeagueChampionship,NFL Chamionship,Lions,17,7,,Browns,Municipal Stadium,50934,,,
1953,NFL,100,LeagueChampionship,NFL Chamionship,Lions,17,16,,Browns,Briggs Stadium,54577,,,
1954,NFL,100,LeagueChampionship,NFL Chamionship,Browns,56,10,,Lions,Municipal Stadium,43827,,,
1955,NFL,100,LeagueChampionship,NFL Chamionship,Browns,38,14,,Rams,Memorial Coliseum,85693,,,
1956,NFL,100,LeagueChampionship,NFL Chamionship,Giants,47,7,,Bears,Yankee Stadium,56836,,,
1957,NFL,50,Playoff,Western Conference Playoff,Lions,31,27,,49ers,,,,,
1957,NFL,100,LeagueChampionship,League Championship,Lions,59,14,,Browns,Briggs Stadium,55263,,,
1958,NFL,50,Playoff,Eastern Conference Playoff,Giants,10,0,,Browns,,,,,
1958,NFL,100,LeagueChampionship,NFL Chamionship,Colts,23,17,OT,Giants,Yankee Stadium,64185,,,
1959,NFL,100,LeagueChampionship,NFL Chamionship,Colts,31,16,,Giants,Memorial Stadium,57545,,,
1960,AFL,100,LeagueChampionship,AFL Championship,Titans,24,16,,Chargers,Jeppesen Stadium,32183,,1-Jan-61,BillyCannon
1960,NFL,100,LeagueChampionship,NFL Chamionship,Eagles,17,13,,Packers,Franklin Field,67325,,,
1961,AFL,100,LeagueChampionship,AFL Championship,Titans,10,3,,Chargers,Balboa Stadium,29556,,24-Dec-61,BillyCannon
1961,NFL,100,LeagueChampionship,NFL Chamionship,Packers,37,0,,Giants,New City Stadium,39029,,,
1962,AFL,100,LeagueChampionship,AFL Championship,Chiefs,20,17,2OT,Chiefs,Jeppesen Stadium (2),37981,,23-Dec-62,JackSpikes
1962,NFL,100,LeagueChampionship,NFL Chamionship,Packers,16,7,,Giants,Yankee Stadium,64892,,,
1963,AFL,100,LeagueChampionship,AFL Championship,Chargers,51,10,,Patriots,Balboa Stadium (2),30127,,5-Jan-64,KeithLincoln
1963,NFL,100,LeagueChampionship,NFL Chamionship,Bears,14,10,,Giants,Wrigley Field,45801,,,
1964,AFL,100,LeagueChampionship,AFL Championship,Bills,20,7,,Chargers,War Memorial Stadium,40242,,26-Dec-64,JackKemp
1964,NFL,100,LeagueChampionship,NFL Chamionship,Browns,27,0,,Colts,Municipal Stadium,79544,,,
1965,NFL,50,Playoff,Western Conference Playoff,Packers,13,10,OT,Colts,,,,,
1965,AFL,100,LeagueChampionship,AFL Championship,Bills,23,0,,Chargers,Balboa Stadium (3),30361,,26-Dec-65,JackKemp
1965,NFL,100,LeagueChampionship,NFL Chamionship,Packers,23,12,,Browns,Lambeau Field,50777,,,
1966,AFL,100,LeagueChampionship,AFL Championship,Chiefs,31,7,,Bills,War Memorial Stadium (2),42080,,1-Jan-67,LenDawson
1966,NFL,100,LeagueChampionship,NFL Chamionship,Packers,34,27,,Cowboys,Lambeau Field,74152,,1/1/1967,
1966,NFL,200,SuperBowl,Super Bowl,Packers,35,10,,Chiefs,Memorial Coliseum,61946,I,,
1967,NFL,25,Playoff,NFL Playoffs,Cowboys,52,14,,Browns,,,,,
1967,NFL,25,Playoff,NFL Playoffs,Packers,28,7,,Rams,,,,,
1967,AFL,100,LeagueChampionship,AFL Championship,Raiders,40,7,,Chiefs,Oakland–Alameda County Coliseum,53330,,31-Dec-67,DaryleLamonica
1967,NFL,100,LeagueChampionship,NFL Chamionship,Packers,21,17,,Cowboys,Lambeau Field,50861,,12/31/1967,
1967,NFL,200,SuperBowl,Super Bowl,Packers,33,14,,Raiders,Orange Bowl,75546,II,,
1968,NFL,25,Playoff,NFL Playoffs,Browns,31,20,,Cowboys,,,,,
1968,NFL,25,Playoff,NFL Playoffs,Colts,24,14,,Vikings,,,,,
1968,AFL,100,LeagueChampionship,AFL Championship,Jets,27,23,,Raiders,Shea Stadium,62627,,29-Dec-68,JoeNamath
1969,NFL,100,LeagueChampionship,NFL Chamionship,Colts,34,0,,Browns,Municipal Stadium,78410,,12/29/1968,
1968,NFL,200,SuperBowl,Super Bowl,Jets,16,7,,Colts,Orange Bowl,75389,III,,
1969,NFL,25,Playoff,NFL Playoffs,Browns,38,14,,Cowboys,,,,,
1969,NFL,25,Playoff,NFL Playoffs,Vikings,23,20,,Rams,,,,,
1969,AFL,100,LeagueChampionship,AFL Championship,Chiefs,17,7,,Raiders,Oakland–Alameda County Coliseum (2),53561,,4-Jan-70,OtisTaylor
1969,NFL,100,LeagueChampionship,NFL Chamionship,Vikings,27,7,,Browns,Viking Stadium,46503,,,
1969,NFL,200,SuperBowl,Super Bowl,Chiefs,23,7,,Vikings,Tulane Stadium,80562,IV,,
1970,NFL,50,Divisional,AFC Divisional,Colts,17,0,,Bengals,,,,,
1970,NFL,50,Divisional,AFC Divisional,Raiders,21,14,,Dolphins,,,,,
1970,NFL,50,Divisional,NFC Divisional,Cowboys,5,0,,Lions,,,,,
1970,NFL,50,Divisional,NFC Divisional,49ers,17,14,,Vikings,,,,,
1970,NFL,100,ConferenceChampionship,AFC Championship,Colts,27,17,,Raiders,,,,,
1970,NFL,100,ConferenceChampionship,NFC Championship,Cowboys,17,10,,49ers,,,,,
1970,NFL,200,SuperBowl,Super Bowl,Colts,16,13,,Cowboys,Orange Bowl,79204,V,,
1971,NFL,50,Divisional,AFC Divisional,Dolphins,27,24,2OT,Chiefs,,,,,
1971,NFL,50,Divisional,AFC Divisional,Colts,20,3,,Browns,,,,,
1971,NFL,50,Divisional,NFC Divisional,Cowboys,20,12,,Vikings,,,,,
1971,NFL,50,Divisional,NFC Divisional,49ers,24,20,,Redskins,,,,,
1971,NFL,100,ConferenceChampionship,AFC Championship,Dolphins,21,0,,Colts,,,,,
1971,NFL,100,ConferenceChampionship,NFC Championship,Cowboys,14,3,,49ers,,,,,
1971,NFL,200,SuperBowl,Super Bowl,Cowboys,24,3,,Dolphins,Tulane Stadium,81023,VI,,
1972,NFL,50,Divisional,AFC Divisional,Steelers,13,7,,Raiders,,,,,
1972,NFL,50,Divisional,AFC Divisional,Dolphins,20,14,,Browns,,,,,
1972,NFL,50,Divisional,NFC Divisional,Cowboys,30,28,,49ers,,,,,
1972,NFL,50,Divisional,NFC Divisional,Redskins,16,3,,Packers,,,,,
1972,NFL,100,ConferenceChampionship,AFC Championship,Dolphins,21,17,,Steelers,,,,,
1972,NFL,100,ConferenceChampionship,NFC Championship,Redskins,26,3,,Cowboys,,,,,
1972,NFL,200,SuperBowl,Super Bowl,Dolphins,14,7,,Redskins,Memorial Coliseum,90182,VII,,
1973,NFL,50,Divisional,AFC Divisional,Raiders,33,14,,Steelers,,,,,
1973,NFL,50,Divisional,AFC Divisional,Dolphins,34,16,,Bengals,,,,,
1973,NFL,50,Divisional,NFC Divisional,Vikings,27,20,,Redskins,,,,,
1973,NFL,50,Divisional,NFC Divisional,Cowboys,27,16,,Rams,,,,,
1973,NFL,100,ConferenceChampionship,AFC Championship,Dolphins,27,10,,Raiders,,,,,
1973,NFL,100,ConferenceChampionship,NFC Championship,Vikings,27,10,,Cowboys,,,,,
1973,NFL,200,SuperBowl,Super Bowl,Dolphins,24,7,,Vikings,Rice Stadium,71882,VIII,,
1974,NFL,50,Divisional,AFC Divisional,Raiders,28,26,,Dolphins,,,,,
1974,NFL,50,Divisional,AFC Divisional,Steelers,32,14,,Bills,,,,,
1974,NFL,50,Divisional,NFC Divisional,Vikings,30,14,,Cardinals,,,,,
1974,NFL,50,Divisional,NFC Divisional,Rams,19,10,,Redskins,,,,,
1974,NFL,100,ConferenceChampionship,AFC Championship,Steelers,24,13,,Raiders,,,,,
1974,NFL,100,ConferenceChampionship,NFC Championship,Vikings,14,10,,Rams,,,,,
1974,NFL,200,SuperBowl,Super Bowl,Steelers,16,6,,Vikings,Tulane Stadium,80997,IX,,
1975,NFL,50,Divisional,AFC Divisional,Steelers,28,10,,Colts,,,,,
