AndreReed,NFL,Receptions,951,Yards,13198,TDs,87,,,,,
AnthonyMunoz,NFL,Receptions,7,Yards,18,TDs,4,,,,,
ArtMonk,NFL,Attempts,2,Completions,1,Yards,46,TDs,0,INTs,0,Rating
ArtMonk,NFL,Attempts,63,Yards,332,TDs,0,,,,,
ArtMonk,NFL,Receptions,940,Yards,12721,TDs,68,,,,,
BarrySanders,NFL,Attempts,4,Completions,1,Yards,11,TDs,0,INTs,1,Rating
BarrySanders,NFL,Attempts,3062,Yards,15269,TDs,99,,,,,
BarrySanders,NFL,Receptions,352,Yards,2921,TDs,10,,,,,
BobHayes,NFL,Receptions,371,Yards,7414,TDs,71,,,,,
BobbyMitchell,NFL,Attempts,3,Completions,3,Yards,61,TDs,1,INTs,0,Rating
BobbyMitchell,NFL,Attempts,513,Yards,2735,TDs,18,,,,,
BobbyMitchell,NFL,Receptions,521,Yards,7954,TDs,65,,,,,
CharleyTaylor,NFL,Attempts,14,Completions,3,Yards,99,TDs,1,INTs,1,Rating
CharleyTaylor,NFL,Attempts,442,Yards,1488,TDs,11,,,,,
CharleyTaylor,NFL,Receptions,649,Yards,9110,TDs,79,,,,,
CharlieJoiner,NFL,Attempts,8,Yards,22,TDs,0,,,,,
CharlieJoiner,NFL,Receptions,750,Yards,12146,TDs,65,,,,,
DanFouts,NFL,Attempts,5604,Completions,3297,Yards,43040,TDs,254,INTs,242,Rating
DanFouts,NFL,Attempts,224,Yards,476,TDs,13,,,,,
DanFouts,NFL,Receptions,1,Yards,0,TDs,0,,,,,
DanMarino,NFL,Attempts,8358,Completions,4967,Yards,61361,TDs,420,INTs,252,Rating
DanMarino,NFL,Attempts,301,Yards,87,TDs,9,,,,,
DanMarino,NFL,Receptions,1,Yards,-6,TDs,0,,,,,
DarrellGreen,NFL,Attempts,1,Yards,6,TDs,0,,,,,
DonMaynard,NFL,Attempts,24,Yards,70,TDs,0,,,,,
DonMaynard,NFL,Receptions,633,Yards,11834,TDs,88,,,,,
EarlCampbell,NFL,Attempts,3,Completions,1,Yards,57,TDs,1,INTs,1,Rating
EarlCampbell,NFL,Attempts,2187,Yards,9407,TDs,74,,,,,
EarlCampbell,NFL,Receptions,121,Yards,806,TDs,0,,,,,
EmmitSmith,NFL,Attempts,,Yards,18355,TDs,164,,,,,
EricDickerson,NFL,Attempts,2,Completions,1,Yards,15,TDs,1,INTs,1,Rating
EricDickerson,NFL,Attempts,2996,Yards,13259,TDs,90,,,,,
EricDickerson,NFL,Receptions,281,Yards,2137,TDs,6,,,,,
FranTarkenton,NFL,Attempts,6467,Completions,3686,Yards,47003,TDs,342,INTs,266,Rating
FranTarkenton,NFL,Attempts,675,Yards,3674,TDs,32,,,,,
FrancoHarris,NFL,Attempts,2949,Yards,12120,TDs,91,,,,,
FrancoHarris,NFL,Receptions,307,Yards,2287,TDs,9,,,,,
FredBiletnikoff,NFL,Receptions,589,Yards,8974,TDs,76,,,,,
GeorgeBlanda,NFL,Attempts,4007,Completions,1911,Yards,26920,TDs,236,INTs,277,Rating
GeorgeBlanda,NFL,Attempts,135,Yards,344,TDs,9,,,,,
GeorgeBlanda,NFL,Receptions,1,Yards,-16,TDs,0,,,,,
JerryRice,NFL,Receptions,1549,Yards,22895,TDs,197,,,,,
JimKelly,NFL,Attempts,4779,Completions,2874,Yards,35467,TDs,237,INTs,175,Rating
JimKelly,NFL,Attempts,304,Yards,1049,TDs,7,,,,,
JimKelly,NFL,Receptions,2,Yards,40,TDs,0,,,,,
JoeMontana,NFL,Attempts,5391,Completions,3409,Yards,40551,TDs,273,INTs,139,Rating
JoeMontana,NFL,Attempts,457,Yards,1676,TDs,20,,,,,
JoeNamath,NFL,Attempts,3762,Completions,1886,Yards,27663,TDs,173,INTs,220,Rating
JoeNamath,NFL,Attempts,71,Yards,140,TDs,7,,,,,
JohnElway,NFL,Attempts,7250,Completions,4123,Yards,51475,TDs,300,INTs,226,Rating
JohnElway,NFL,Attempts,774,Yards,3407,TDs,33,,,,,
JohnElway,NFL,Receptions,3,Yards,61,TDs,1,,,,,
JohnRiggins,NFL,Attempts,2916,Yards,11352,TDs,104,,,,,
JohnRiggins,NFL,Receptions,250,Yards,2090,TDs,12,,,,,
KellenWinslow,NFL,Receptions,541,Yards,6741,TDs,45,,,,,
LenDawson,NFL,Attempts,3741,Completions,2136,Yards,28711,TDs,239,INTs,183,Rating
LenDawson,NFL,Attempts,294,Yards,1293,TDs,9,,,,,
LynnSwann,NFL,Attempts,11,Yards,72,TDs,1,,,,,
LynnSwann,NFL,Receptions,336,Yards,5462,TDs,51,,,,,
