NFL-Rams,1936,Cleveland,Rams,AFL,,,5,2,2,DamonWetzel,x,x
NFL-Rams,1937,Cleveland,Rams,NFL,NFLWestern,,1,10,0,HugoBezdek,,
NFL-Rams,1938,Cleveland,Rams,NFL,NFLWestern,,4,7,0,HugoBezdek,,
NFL-Rams,1939,Cleveland,Rams,NFL,NFLWestern,,5,5,1,DutchClark,,
NFL-Rams,1940,Cleveland,Rams,NFL,NFLWestern,,4,6,1,DutchClark,,
NFL-Rams,1941,Cleveland,Rams,NFL,NFLWestern,,2,9,0,DutchClark,DanReevesOwner,
NFL-Rams,1942,Cleveland,Rams,NFL,NFLWestern,,5,6,0,DutchClark,DanReevesOwner,
NFL-Rams,1944,Cleveland,Rams,NFL,NFLWestern,,4,6,0,AldoDonelli,DanReevesOwner,
NFL-Rams,1945,Cleveland,Rams,NFL,NFLWestern,,9,1,0,AdamWalsh,DanReevesOwner,
NFL-Rams,1946,Los Angeles,Rams,NFL,NFLWestern,,6,4,1,AdamWalsh,DanReevesOwner,
NFL-Rams,1947,Los Angeles,Rams,NFL,NFLWestern,,6,6,0,BobSnyder,DanReevesOwner,
NFL-Rams,1948,Los Angeles,Rams,NFL,NFLWestern,,6,5,1,ClarkShaughnessy,DanReevesOwner,
NFL-Rams,1949,Los Angeles,Rams,NFL,NFLWestern,,8,2,2,ClarkShaughnessy,DanReevesOwner,
NFL-Rams,1950,Los Angeles,Rams,NFL,NFLNational,,9,3,0,JoeStydahar,DanReevesOwner,
NFL-Rams,1951,Los Angeles,Rams,NFL,NFLNational,,8,4,0,JoeStydahar,DanReevesOwner,
NFL-Rams,1952,Los Angeles,Rams,NFL,NFLNational,,9,3,0,JoeStydahar,DanReevesOwner,
NFL-Rams,1953,Los Angeles,Rams,NFL,NFLWestern,,8,3,1,HampPool,DanReevesOwner,
NFL-Rams,1954,Los Angeles,Rams,NFL,NFLWestern,,6,5,1,HampPool,DanReevesOwner,
NFL-Rams,1955,Los Angeles,Rams,NFL,NFLWestern,,8,3,1,SidGillman,DanReevesOwner,
NFL-Rams,1956,Los Angeles,Rams,NFL,NFLWestern,,4,8,0,SidGillman,DanReevesOwner,
NFL-Rams,1957,Los Angeles,Rams,NFL,NFLWestern,,6,6,0,SidGillman,DanReevesOwner,
NFL-Rams,1958,Los Angeles,Rams,NFL,NFLWestern,,8,4,0,SidGillman,DanReevesOwner,
NFL-Rams,1959,Los Angeles,Rams,NFL,NFLWestern,,2,10,0,SidGillman,DanReevesOwner,
NFL-Rams,1960,Los Angeles,Rams,NFL,NFLWestern,,4,7,1,BobWaterfield,DanReevesOwner,
NFL-Rams,1961,Los Angeles,Rams,NFL,NFLWestern,,4,10,0,BobWaterfield,DanReevesOwner,
NFL-Rams,1962,Los Angeles,Rams,NFL,NFLWestern,,1,12,1,BobWaterfield,DanReevesOwner,
NFL-Rams,1963,Los Angeles,Rams,NFL,NFLWestern,,5,9,0,HarlandSvare,DanReevesOwner,
NFL-Rams,1964,Los Angeles,Rams,NFL,NFLWestern,,5,7,2,HarlandSvare,DanReevesOwner,
NFL-Rams,1965,Los Angeles,Rams,NFL,NFLWestern,,4,10,0,HarlandSvare,DanReevesOwner,
NFL-Rams,1966,Los Angeles,Rams,NFL,NFLWestern,,8,6,0,GeorgeAllen,DanReevesOwner,
NFL-Rams,1967,Los Angeles,Rams,NFL,,NFLCoastal,11,1,2,GeorgeAllen,DanReevesOwner,
NFL-Rams,1968,Los Angeles,Rams,NFL,,NFLCoastal,10,3,1,GeorgeAllen,DanReevesOwner,
NFL-Rams,1969,Los Angeles,Rams,NFL,,NFLCoastal,11,3,0,GeorgeAllen,DanReevesOwner,
NFL-Rams,1970,Los Angeles,Rams,NFL,,NFCWest,9,4,1,GeorgeAllen,DanReevesOwner,
NFL-Rams,1971,Los Angeles,Rams,NFL,,NFCWest,8,5,1,TommyProthro,DanReevesOwner,
NFL-Rams,1972,Los Angeles,Rams,NFL,,NFCWest,6,7,1,TommyProthro,,
NFL-Rams,1973,Los Angeles,Rams,NFL,,NFCWest,12,2,0,ChuckKnox,,
NFL-Rams,1974,Los Angeles,Rams,NFL,,NFCWest,10,4,0,ChuckKnox,,
NFL-Rams,1975,Los Angeles,Rams,NFL,,NFCWest,12,2,0,ChuckKnox,,
NFL-Rams,1976,Los Angeles,Rams,NFL,,NFCWest,10,3,1,ChuckKnox,,
NFL-Rams,1977,Los Angeles,Rams,NFL,,NFCWest,10,4,0,ChuckKnox,,
NFL-Rams,1978,Los Angeles,Rams,NFL,,NFCWest,12,4,0,RayMalavasi,,
NFL-Rams,1979,Los Angeles,Rams,NFL,,NFCWest,9,7,0,RayMalavasi,,
NFL-Rams,1980,Los Angeles,Rams,NFL,,NFCWest,11,5,0,RayMalavasi,,
NFL-Rams,1981,Los Angeles,Rams,NFL,,NFCWest,6,10,0,RayMalavasi,,
NFL-Rams,1982,Los Angeles,Rams,NFL,,NFCWest,2,7,0,RayMalavasi,,
NFL-Rams,1983,Los Angeles,Rams,NFL,,NFCWest,9,7,0,JohnRobinson,,
NFL-Rams,1984,Los Angeles,Rams,NFL,,NFCWest,10,6,0,JohnRobinson,,
NFL-Rams,1985,Los Angeles,Rams,NFL,,NFCWest,11,5,0,JohnRobinson,,
NFL-Rams,1986,Los Angeles,Rams,NFL,,NFCWest,10,6,0,JohnRobinson,,
NFL-Rams,1987,Los Angeles,Rams,NFL,,NFCWest,6,9,0,JohnRobinson,,
NFL-Rams,1988,Los Angeles,Rams,NFL,,NFCWest,10,6,0,JohnRobinson,,
NFL-Rams,1989,Los Angeles,Rams,NFL,,NFCWest,11,5,0,JohnRobinson,,
NFL-Rams,1990,Los Angeles,Rams,NFL,,NFCWest,5,11,0,JohnRobinson,,
NFL-Rams,1991,Los Angeles,Rams,NFL,,NFCWest,3,13,0,JohnRobinson,,
NFL-Rams,1992,Los Angeles,Rams,NFL,,NFCWest,6,10,0,ChuckKnox,,
NFL-Rams,1993,Los Angeles,Rams,NFL,,NFCWest,5,11,0,ChuckKnox,,
NFL-Rams,1994,Los Angeles,Rams,NFL,,NFCWest,4,12,0,ChuckKnox,,
NFL-Rams,1995,St Louis,Rams,NFL,,NFCWest,7,9,0,RichBrooks,,
NFL-Rams,1996,St Louis,Rams,NFL,,NFCWest,6,10,0,RichBrooks,,
NFL-Rams,1997,St Louis,Rams,NFL,,NFCWest,5,11,0,DickVermeil,,
NFL-Rams,1998,St Louis,Rams,NFL,,NFCWest,4,12,0,DickVermeil,,
NFL-Rams,1999,St Louis,Rams,NFL,,NFCWest,13,3,0,DickVermeil,,
NFL-Rams,2000,St Louis,Rams,NFL,,NFCWest,10,6,0,MikeMartz,,
NFL-Rams,2001,St Louis,Rams,NFL,,NFCWest,14,2,0,MikeMartz,,
NFL-Rams,2002,St Louis,Rams,NFL,,NFCWest,7,9,0,MikeMartz,,
NFL-Rams,2003,St Louis,Rams,NFL,,NFCWest,12,4,0,MikeMartz,,
NFL-Rams,2004,St Louis,Rams,NFL,,NFCWest,8,8,0,MikeMartz,,
NFL-Rams,2005,St Louis,Rams,NFL,,NFCWest,6,10,0,MikeMartz,,
NFL-Rams,2006,St Louis,Rams,NFL,,NFCWest,8,8,0,ScottLinehan,,
NFL-Rams,2007,St Louis,Rams,NFL,,NFCWest,3,13,0,ScottLinehan,,
NFL-Rams,2008,St Louis,Rams,NFL,,NFCWest,2,14,0,ScottLinehan,,
NFL-Rams,2009,St Louis,Rams,NFL,,NFCWest,1,15,0,SteveSpagnuolo,,
NFL-Rams,2010,St Louis,Rams,NFL,,NFCWest,7,9,0,SteveSpagnuolo,,
NFL-Rams,2011,St Louis,Rams,NFL,,NFCWest,2,14,0,SteveSpagnuolo,,
NFL-Rams,2012,St Louis,Rams,NFL,,NFCWest,7,8,1,JeffFisher,,
NFL-Rams,2013,St Louis,Rams,NFL,,NFCWest,7,9,0,JeffFisher,,
NFL-Rams,2014,St Louis,Rams,NFL,,NFCWest,6,10,0,JeffFisher,,
NFL-Rams,2015,St Louis,Rams,NFL,,NFCWest,7,9,0,JeffFisher,,
NFL-Rams,2016,Los Angeles,Rams,NFL,,NFCWest,4,12,0,JeffFisher,,
NFL-Rams,2017,Los Angeles,Rams,NFL,,NFCWest,11,5,0,SeanMcVay,,
NFL-Rams,2018,Los Angeles,Rams,NFL,,NFCWest,13,3,0,SeanMcVay,,
NFL-Rams,2019,Los Angeles,Rams,NFL,,NFCWest,8,6,0,SeanMcVay,,
